수량,중량,평균가,yyyy,mm,dd,산지_군산,산지_보령,산지_속초,산지_안흥,산지_여수,규격_10미,규격_대,규격_중,포장_S/P,포장_box,포장_c/s(상자),포장_kg
27,10.0,33400,2017,8,2,1,0,0,0,0,1,0,0,0,1,0,0
9,10.0,34500,2017,8,18,1,0,0,0,0,1,0,0,0,1,0,0
21,10.0,15000,2017,11,1,1,0,0,0,0,1,0,0,0,1,0,0
23,10.0,15000,2017,11,2,1,0,0,0,0,1,0,0,0,1,0,0
25,10.0,25000,2017,11,3,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,28000,2017,11,30,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,10700,2017,12,1,1,0,0,0,0,1,0,0,0,1,0,0
15,10.0,42000,2018,1,24,1,0,0,0,0,1,0,0,0,1,0,0
12,10.0,31600,2018,1,25,1,0,0,0,0,1,0,0,0,1,0,0
11,10.0,30000,2018,1,27,1,0,0,0,0,1,0,0,0,1,0,0
3,10.0,30000,2018,1,29,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,30000,2018,1,31,1,0,0,0,0,1,0,0,0,1,0,0
12,10.0,29000,2018,2,1,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,30000,2018,2,2,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,31500,2018,2,5,1,0,0,0,0,1,0,0,0,1,0,0
12,10.0,30000,2018,2,10,1,0,0,0,0,1,0,0,0,1,0,0
25,10.0,28100,2018,2,13,1,0,0,0,0,1,0,0,0,1,0,0
26,10.0,29800,2018,2,14,1,0,0,0,0,1,0,0,0,1,0,0
22,10.0,30000,2018,2,20,1,0,0,0,0,1,0,0,0,1,0,0
7,10.0,29500,2018,2,21,1,0,0,0,0,1,0,0,0,1,0,0
14,10.0,25000,2018,2,22,1,0,0,0,0,1,0,0,0,1,0,0
23,10.0,25800,2018,2,23,1,0,0,0,0,1,0,0,0,1,0,0
24,10.0,24200,2018,2,24,1,0,0,0,0,1,0,0,0,1,0,0
30,10.0,27000,2018,2,26,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,23100,2018,2,27,1,0,0,0,0,1,0,0,0,1,0,0
6,10.0,23000,2018,2,28,1,0,0,0,0,1,0,0,0,1,0,0
48,10.0,28600,2018,3,1,1,0,0,0,0,1,0,0,0,1,0,0
19,10.0,23000,2018,3,2,1,0,0,0,0,1,0,0,0,1,0,0
24,10.0,23800,2018,3,3,1,0,0,0,0,1,0,0,0,1,0,0
46,10.0,30000,2018,3,19,1,0,0,0,0,1,0,0,0,1,0,0
37,5.0,30000,2018,3,20,1,0,0,0,0,1,0,0,0,1,0,0
54,5.0,30000,2018,3,26,1,0,0,0,0,1,0,0,0,1,0,0
58,10.0,30000,2018,4,6,1,0,0,0,0,1,0,0,0,1,0,0
61,10.0,30000,2018,4,13,1,0,0,0,0,1,0,0,0,1,0,0
5,10.0,26000,2018,4,27,1,0,0,0,0,1,0,0,0,1,0,0
4,10.0,35000,2018,5,14,1,0,0,0,0,1,0,0,0,1,0,0
18,10.0,31100,2018,6,12,1,0,0,0,0,1,0,0,0,1,0,0
2,10.0,24500,2018,6,19,1,0,0,0,0,1,0,0,0,1,0,0
10,10.0,32200,2018,6,27,1,0,0,0,0,1,0,0,0,1,0,0
