수량,중량,평균가,yyyy,mm,dd,산지_서천,산지_완도,산지_충무,산지_통영,산지_흑산도
335,1.0,8100,2017,8,16,0,0,0,1,0
214,1.0,10100,2017,8,17,0,0,0,1,0
1144,1.0,7900,2017,8,18,0,0,0,1,0
554,1.0,7800,2017,8,19,0,0,0,1,0
84,1.0,8000,2017,8,21,0,0,0,1,0
201,1.0,8600,2017,8,22,0,0,0,1,0
330,1.0,4900,2017,8,23,0,0,0,1,0
336,1.0,4400,2017,8,24,0,0,0,1,0
12,1.0,11000,2017,8,25,0,0,0,1,0
388,1.0,9300,2017,8,26,0,0,0,1,0
132,1.0,12000,2017,8,28,0,0,0,1,0
411,1.0,7400,2017,8,30,0,0,0,1,0
23,1.0,8600,2017,8,31,0,0,0,1,0
133,1.0,9100,2017,9,1,0,0,0,1,0
4,1.0,5000,2017,9,2,0,0,0,1,0
96,1.0,9000,2017,9,4,0,0,0,1,0
63,1.0,12100,2017,9,5,0,0,0,1,0
211,1.0,11900,2017,9,6,0,0,0,1,0
741,1.0,9000,2017,9,7,0,0,0,1,0
235,1.0,9900,2017,9,8,0,0,0,1,0
220,1.0,15600,2017,9,9,0,0,0,1,0
39,1.0,6800,2017,9,11,0,0,0,1,0
157,1.0,8900,2017,9,12,0,0,0,1,0
112,1.0,11900,2017,9,13,0,0,0,1,0
222,1.0,11200,2017,9,14,0,0,0,1,0
632,1.0,10900,2017,9,15,0,0,0,1,0
212,1.0,10900,2017,9,16,0,0,0,1,0
511,1.0,10000,2017,9,18,0,0,0,1,0
259,1.0,9600,2017,9,19,0,0,0,1,0
542,1.0,10100,2017,9,20,0,0,0,1,0
12,1.0,12500,2017,9,21,0,0,0,1,0
522,1.0,8700,2017,9,22,0,0,0,1,0
319,1.0,10600,2017,9,23,0,0,0,1,0
156,1.0,12000,2017,9,25,0,0,0,1,0
85,1.0,10700,2017,9,26,0,0,0,1,0
472,1.0,10200,2017,9,27,0,0,0,1,0
47,1.0,17400,2017,9,28,0,0,0,1,0
598,1.0,10200,2017,9,29,0,0,0,1,0
998,1.0,8800,2017,9,30,0,0,0,1,0
512,1.0,9400,2017,10,1,0,0,0,1,0
298,1.0,11500,2017,10,2,0,0,0,1,0
594,1.0,10600,2017,10,3,0,0,0,1,0
423,1.0,12600,2017,10,9,0,0,0,1,0
180,1.0,9200,2017,10,10,0,0,0,1,0
152,1.0,14900,2017,10,11,0,0,0,1,0
172,1.0,11800,2017,10,12,0,0,0,1,0
904,1.0,10400,2017,10,13,0,0,0,1,0
573,1.0,10300,2017,10,14,0,0,0,1,0
1104,1.0,8500,2017,10,16,0,0,0,1,0
276,1.0,9000,2017,10,17,0,0,0,1,0
48,1.0,8700,2017,10,18,0,0,0,1,0
440,1.0,8600,2017,10,19,0,0,0,1,0
583,1.0,9600,2017,10,20,0,0,0,1,0
413,1.0,10500,2017,10,21,0,0,0,1,0
515,1.0,7700,2017,10,23,0,0,0,1,0
499,1.0,8500,2017,10,24,0,0,0,1,0
309,1.0,9000,2017,10,25,0,0,0,1,0
38,1.0,11800,2017,10,26,0,0,0,1,0
328,1.0,12700,2017,10,27,0,0,0,1,0
178,1.0,13000,2017,10,28,0,0,0,1,0
142,1.0,9200,2017,10,30,0,0,0,1,0
403,1.0,9200,2017,10,31,0,0,0,1,0
291,1.0,10200,2017,11,1,0,0,0,1,0
290,1.0,12700,2017,11,2,0,0,0,1,0
377,1.0,11600,2017,11,3,0,0,0,1,0
353,1.0,12600,2017,11,4,0,0,0,1,0
197,1.0,10500,2017,11,6,0,0,0,1,0
120,1.0,13900,2017,11,7,0,0,0,1,0
136,1.0,9900,2017,11,8,0,0,0,1,0
130,1.0,10000,2017,11,9,0,0,0,1,0
562,1.0,10400,2017,11,10,0,0,0,1,0
497,1.0,10800,2017,11,11,0,0,0,1,0
348,1.0,10700,2017,11,13,0,0,0,1,0
50,1.0,13100,2017,11,14,0,0,0,1,0
323,1.0,11100,2017,11,15,0,0,0,1,0
259,1.0,11700,2017,11,16,0,0,0,1,0
50,1.0,13100,2017,11,17,0,0,0,1,0
352,1.0,11600,2017,11,18,0,0,0,1,0
652,1.0,9100,2017,11,20,0,0,0,1,0
52,1.0,7600,2017,11,21,0,0,0,1,0
473,1.0,7700,2017,11,22,0,0,0,1,0
236,1.0,14700,2017,11,23,0,0,0,1,0
242,1.0,10800,2017,11,24,0,0,0,1,0
372,1.0,14300,2017,11,25,0,0,0,1,0
590,1.0,10100,2017,11,27,0,0,0,1,0
382,1.0,11700,2017,11,28,0,0,0,1,0
129,1.0,9100,2017,11,29,0,0,0,1,0
501,1.0,13000,2017,11,30,0,0,0,1,0
254,1.0,10500,2017,12,1,0,0,0,1,0
921,1.0,12500,2017,12,2,0,0,0,1,0
425,1.0,6900,2017,12,4,0,0,0,1,0
217,1.0,9900,2017,12,5,0,0,0,1,0
47,1.0,15800,2017,12,6,0,0,0,1,0
247,1.0,8500,2017,12,7,0,0,0,1,0
708,1.0,10900,2017,12,8,0,0,0,1,0
443,1.0,9100,2017,12,9,0,0,0,1,0
235,1.0,9600,2017,12,11,0,0,0,1,0
100,1.0,7500,2017,12,12,0,0,0,1,0
383,1.0,10700,2017,12,13,0,0,0,1,0
688,1.0,11100,2017,12,14,0,0,0,1,0
312,1.0,10900,2017,12,15,0,0,0,1,0
764,1.0,10500,2017,12,16,0,0,0,1,0
284,1.0,9900,2017,12,18,0,0,0,1,0
160,1.0,7700,2017,12,19,0,0,0,1,0
412,1.0,7300,2017,12,20,0,0,0,1,0
333,1.0,10900,2017,12,21,0,0,0,1,0
661,1.0,11100,2017,12,22,0,0,0,1,0
508,1.0,10700,2017,12,23,0,0,0,1,0
479,1.0,12000,2017,12,25,0,0,0,1,0
1191,1.0,8400,2017,12,26,0,0,0,1,0
168,1.0,7000,2017,12,27,0,0,0,1,0
577,1.0,9900,2017,12,28,0,0,0,1,0
575,1.0,9500,2017,12,29,0,0,0,1,0
1633,1.0,9100,2017,12,30,0,0,0,1,0
