amount,weight,avg_price,yyyy,mm,dd,origin_제주도,standard_10미,standard_20미,standard_25미,standard_5미
53649,60,3.5,98000,2017,1,19,1,1,0,0,0
53650,2,4.0,130000,2017,1,19,1,1,0,0,0
53651,16,4.5,157800,2017,1,19,1,1,0,0,0
53652,63,5.0,183500,2017,1,19,1,1,0,0,0
53655,19,5.0,66000,2017,1,19,1,0,1,0,0
53660,5,5.0,302000,2017,1,19,1,0,0,0,1
53670,55,3.5,101100,2017,1,20,1,1,0,0,0
53671,10,4.0,140000,2017,1,20,1,1,0,0,0
53672,63,4.5,152200,2017,1,20,1,1,0,0,0
53673,26,5.0,191900,2017,1,20,1,1,0,0,0
53674,15,5.7,200000,2017,1,20,1,1,0,0,0
53676,9,5.0,75700,2017,1,20,1,0,1,0,0
53677,3,6.0,53000,2017,1,20,1,0,1,0,0
53678,15,5.0,38000,2017,1,20,1,0,0,1,0
53684,58,3.5,104800,2017,1,21,1,1,0,0,0
53685,7,4.0,120000,2017,1,21,1,1,0,0,0
53686,31,4.5,141300,2017,1,21,1,1,0,0,0
53687,84,5.0,164600,2017,1,21,1,1,0,0,0
53688,14,5.0,70000,2017,1,21,1,0,1,0,0
53689,2,6.5,170000,2017,1,21,1,0,1,0,0
53691,3,5.0,40000,2017,1,21,1,0,0,1,0
53696,2,4.5,180000,2017,1,21,1,0,0,0,1
53697,17,5.0,267900,2017,1,21,1,0,0,0,1
53701,41,3.5,107300,2017,1,23,1,1,0,0,0
53702,19,4.0,100000,2017,1,23,1,1,0,0,0
53703,32,4.5,145000,2017,1,23,1,1,0,0,0
53704,66,5.0,173800,2017,1,23,1,1,0,0,0
53705,1,8.0,25000,2017,1,23,1,1,0,0,0
53707,17,4.0,30000,2017,1,23,1,0,1,0,0
53708,30,4.5,35000,2017,1,23,1,0,1,0,0
53709,14,5.0,68200,2017,1,23,1,0,1,0,0
53710,16,6.0,119700,2017,1,23,1,0,1,0,0
53711,8,6.5,180000,2017,1,23,1,0,1,0,0
53712,10,4.5,22000,2017,1,23,1,0,0,1,0
53719,1,2.7,60000,2017,1,23,1,0,0,0,1
53720,9,5.0,264400,2017,1,23,1,0,0,0,1
53724,58,3.5,107700,2017,1,24,1,1,0,0,0
53725,4,4.0,127500,2017,1,24,1,1,0,0,0
53726,27,4.5,151100,2017,1,24,1,1,0,0,0
53727,46,5.0,187600,2017,1,24,1,1,0,0,0
53728,4,5.5,190000,2017,1,24,1,1,0,0,0
53730,8,5.0,75000,2017,1,24,1,0,1,0,0
53731,3,6.0,130000,2017,1,24,1,0,1,0,0
53732,1,6.0,68000,2017,1,24,1,0,0,1,0
53736,1,4.3,220000,2017,1,24,1,0,0,0,1
53737,18,5.0,248300,2017,1,24,1,0,0,0,1
53744,55,3.5,112000,2017,1,25,1,1,0,0,0
53745,34,4.5,162400,2017,1,25,1,1,0,0,0
53746,67,5.0,190200,2017,1,25,1,1,0,0,0
53747,8,5.0,80000,2017,1,25,1,0,1,0,0
53748,5,6.5,183800,2017,1,25,1,0,1,0,0
53758,60,3.5,113400,2017,1,26,1,1,0,0,0
53759,20,4.0,120000,2017,1,26,1,1,0,0,0
53760,51,4.5,142200,2017,1,26,1,1,0,0,0
53761,103,5.0,174300,2017,1,26,1,1,0,0,0
53762,9,5.0,80000,2017,1,26,1,0,1,0,0
53763,3,6.0,80000,2017,1,26,1,0,1,0,0
53764,10,6.5,175000,2017,1,26,1,0,1,0,0
53765,1,6.0,46000,2017,1,26,1,0,0,1,0
53769,10,5.0,340000,2017,1,26,1,0,0,0,1
53773,7,3.0,58000,2017,1,27,1,1,0,0,0
53774,30,3.5,120000,2017,1,27,1,1,0,0,0
53775,17,4.0,138800,2017,1,27,1,1,0,0,0
53776,24,4.5,179300,2017,1,27,1,1,0,0,0
53777,51,5.0,210400,2017,1,27,1,1,0,0,0
53781,4,5.0,380000,2017,1,27,1,0,0,0,1
53808,8,4.0,116300,2017,2,2,1,1,0,0,0
53809,15,5.0,227300,2017,2,2,1,1,0,0,0
53810,20,5.0,81500,2017,2,2,1,0,1,0,0
53820,6,3.5,127500,2017,2,3,1,1,0,0,0
53821,15,4.0,160000,2017,2,3,1,1,0,0,0
53822,21,4.5,173900,2017,2,3,1,1,0,0,0
53823,52,5.0,192600,2017,2,3,1,1,0,0,0
53826,4,5.0,80000,2017,2,3,1,0,1,0,0
53827,18,6.5,190300,2017,2,3,1,0,1,0,0
53830,8,5.0,340000,2017,2,3,1,0,0,0,1
53839,14,3.2,120000,2017,2,4,1,1,0,0,0
53840,42,3.5,117700,2017,2,4,1,1,0,0,0
53841,13,4.0,137300,2017,2,4,1,1,0,0,0
53842,58,4.5,147500,2017,2,4,1,1,0,0,0
53843,34,5.0,189300,2017,2,4,1,1,0,0,0
53845,4,5.0,79000,2017,2,4,1,0,1,0,0
53846,4,6.5,190000,2017,2,4,1,0,1,0,0
53847,8,5.0,60000,2017,2,4,1,0,0,1,0
53858,3,3.5,105000,2017,2,6,1,1,0,0,0
53859,19,4.0,117400,2017,2,6,1,1,0,0,0
53860,26,4.5,142900,2017,2,6,1,1,0,0,0
53861,25,5.0,180000,2017,2,6,1,1,0,0,0
53866,22,5.0,63000,2017,2,6,1,0,1,0,0
53867,2,6.0,125000,2017,2,6,1,0,1,0,0
53868,26,6.5,155000,2017,2,6,1,0,1,0,0
53883,59,3.5,99400,2017,2,7,1,1,0,0,0
53884,8,4.0,120000,2017,2,7,1,1,0,0,0
53885,25,4.5,139000,2017,2,7,1,1,0,0,0
53886,58,5.0,165300,2017,2,7,1,1,0,0,0
53889,4,5.0,70000,2017,2,7,1,0,1,0,0
53890,20,6.5,150000,2017,2,7,1,0,1,0,0
53897,55,3.5,92800,2017,2,8,1,1,0,0,0
53898,20,4.0,110000,2017,2,8,1,1,0,0,0
53899,34,4.5,133100,2017,2,8,1,1,0,0,0
53900,51,5.0,154100,2017,2,8,1,1,0,0,0
53903,1,5.0,70000,2017,2,8,1,0,1,0,0
53904,17,6.5,146800,2017,2,8,1,0,1,0,0
53906,11,5.0,236900,2017,2,8,1,0,0,0,1
53921,2,3.0,40000,2017,2,9,1,1,0,0,0
53922,38,3.5,93000,2017,2,9,1,1,0,0,0
53923,10,4.0,117000,2017,2,9,1,1,0,0,0
53924,38,4.5,130100,2017,2,9,1,1,0,0,0
53925,51,5.0,156300,2017,2,9,1,1,0,0,0
53926,2,8.0,95000,2017,2,9,1,1,0,0,0
53929,5,5.0,75000,2017,2,9,1,0,1,0,0
53940,63,3.5,87000,2017,2,10,1,1,0,0,0
53941,6,4.0,117000,2017,2,10,1,1,0,0,0
53942,20,4.5,127600,2017,2,10,1,1,0,0,0
53943,51,5.0,147600,2017,2,10,1,1,0,0,0
53946,16,5.0,73800,2017,2,10,1,0,1,0,0
53947,7,6.0,130000,2017,2,10,1,0,1,0,0
53948,4,6.5,160000,2017,2,10,1,0,1,0,0
53956,36,3.5,95000,2017,2,11,1,1,0,0,0
53957,5,4.0,115000,2017,2,11,1,1,0,0,0
53958,42,4.5,118400,2017,2,11,1,1,0,0,0
53959,13,5.0,170000,2017,2,11,1,1,0,0,0
53960,8,5.0,72300,2017,2,11,1,0,1,0,0
53961,5,6.0,122000,2017,2,11,1,0,1,0,0
53962,5,6.5,155000,2017,2,11,1,0,1,0,0
53963,1,5.0,37000,2017,2,11,1,0,0,1,0
53975,80,3.5,88000,2017,2,13,1,1,0,0,0
53976,6,4.0,115000,2017,2,13,1,1,0,0,0
53977,38,4.5,126400,2017,2,13,1,1,0,0,0
53978,44,5.0,149500,2017,2,13,1,1,0,0,0
53980,8,5.0,72000,2017,2,13,1,0,1,0,0
53981,3,6.0,130000,2017,2,13,1,0,1,0,0
53982,9,6.5,150000,2017,2,13,1,0,1,0,0
53985,2,5.0,260000,2017,2,13,1,0,0,0,1
53993,1,3.0,60000,2017,2,14,1,1,0,0,0
53994,55,3.5,82500,2017,2,14,1,1,0,0,0
53995,1,4.4,140000,2017,2,14,1,1,0,0,0
53996,23,4.5,128900,2017,2,14,1,1,0,0,0
53997,28,5.0,177300,2017,2,14,1,1,0,0,0
54000,8,5.0,72000,2017,2,14,1,0,1,0,0
54001,14,6.5,141400,2017,2,14,1,0,1,0,0
54020,43,3.5,89200,2017,2,15,1,1,0,0,0
54021,4,4.0,125000,2017,2,15,1,1,0,0,0
54022,9,4.5,150900,2017,2,15,1,1,0,0,0
54023,11,5.0,190000,2017,2,15,1,1,0,0,0
54024,22,6.5,135000,2017,2,15,1,0,1,0,0
54025,3,5.0,55000,2017,2,15,1,0,0,1,0
54026,6,6.0,70000,2017,2,15,1,0,0,1,0
54034,26,3.5,95600,2017,2,16,1,1,0,0,0
54035,9,4.0,120000,2017,2,16,1,1,0,0,0
54036,36,4.5,136900,2017,2,16,1,1,0,0,0
54037,48,5.0,171600,2017,2,16,1,1,0,0,0
54039,8,5.0,70500,2017,2,16,1,0,1,0,0
54041,7,5.0,50700,2017,2,16,1,0,0,1,0
54042,1,6.0,70000,2017,2,16,1,0,0,1,0
54046,6,5.0,301700,2017,2,16,1,0,0,0,1
54057,69,3.5,91700,2017,2,17,1,1,0,0,0
54058,22,4.0,120000,2017,2,17,1,1,0,0,0
54059,39,4.5,135700,2017,2,17,1,1,0,0,0
54060,34,5.0,174600,2017,2,17,1,1,0,0,0
54062,3,5.0,72000,2017,2,17,1,0,1,0,0
54063,7,6.5,155000,2017,2,17,1,0,1,0,0
54064,4,5.0,48000,2017,2,17,1,0,0,1,0
54076,46,3.5,98000,2017,2,18,1,1,0,0,0
54077,16,4.0,120000,2017,2,18,1,1,0,0,0
54078,21,4.5,133800,2017,2,18,1,1,0,0,0
54079,33,5.0,165500,2017,2,18,1,1,0,0,0
54084,10,5.0,67100,2017,2,18,1,0,1,0,0
54085,4,6.5,160000,2017,2,18,1,0,1,0,0
54086,4,5.0,44000,2017,2,18,1,0,0,1,0
54095,61,3.5,94900,2017,2,20,1,1,0,0,0
54096,13,4.0,128000,2017,2,20,1,1,0,0,0
54097,47,4.5,132500,2017,2,20,1,1,0,0,0
54098,61,5.0,164000,2017,2,20,1,1,0,0,0
54099,2,5.0,75000,2017,2,20,1,0,1,0,0
54100,11,6.5,155000,2017,2,20,1,0,1,0,0
54113,69,3.5,90000,2017,2,21,1,1,0,0,0
54114,13,4.0,118100,2017,2,21,1,1,0,0,0
54115,54,4.5,124600,2017,2,21,1,1,0,0,0
54116,33,5.0,177900,2017,2,21,1,1,0,0,0
54120,20,5.0,70000,2017,2,21,1,0,1,0,0
54121,20,6.0,93000,2017,2,21,1,0,1,0,0
54122,13,6.5,150000,2017,2,21,1,0,1,0,0
54123,4,5.0,45000,2017,2,21,1,0,0,1,0
54124,9,6.0,62000,2017,2,21,1,0,0,1,0
54132,45,3.5,96100,2017,2,22,1,1,0,0,0
54133,3,4.0,130000,2017,2,22,1,1,0,0,0
54134,3,4.5,160000,2017,2,22,1,1,0,0,0
54135,8,5.0,195000,2017,2,22,1,1,0,0,0
54136,22,5.0,64500,2017,2,22,1,0,1,0,0
54137,5,6.0,120000,2017,2,22,1,0,1,0,0
54138,10,6.5,155000,2017,2,22,1,0,1,0,0
54142,1,3.5,130000,2017,2,22,1,0,0,0,1
54143,12,5.0,280000,2017,2,22,1,0,0,0,1
54161,49,3.5,98000,2017,2,23,1,1,0,0,0
54162,5,4.0,126000,2017,2,23,1,1,0,0,0
54163,8,4.5,160000,2017,2,23,1,1,0,0,0
54164,12,5.0,200000,2017,2,23,1,1,0,0,0
54170,31,3.5,102700,2017,2,24,1,1,0,0,0
54171,6,4.0,133000,2017,2,24,1,1,0,0,0
54172,28,4.5,154100,2017,2,24,1,1,0,0,0
54173,40,5.0,188800,2017,2,24,1,1,0,0,0
54176,2,5.0,75000,2017,2,24,1,0,1,0,0
54177,3,6.5,167000,2017,2,24,1,0,1,0,0
54181,1,5.0,280000,2017,2,24,1,0,0,0,1
54182,1,5.4,280000,2017,2,24,1,0,0,0,1
54183,1,5.5,310000,2017,2,24,1,0,0,0,1
54190,8,3.5,115000,2017,2,25,1,1,0,0,0
54191,5,4.0,140000,2017,2,25,1,1,0,0,0
54192,30,4.5,152200,2017,2,25,1,1,0,0,0
54193,20,5.0,205000,2017,2,25,1,1,0,0,0
54198,6,3.5,130000,2017,2,27,1,1,0,0,0
54200,2,6.0,160000,2017,2,27,1,0,1,0,0
54216,53,3.5,110000,2017,2,28,1,1,0,0,0
54217,36,4.5,160400,2017,2,28,1,1,0,0,0
54218,35,5.0,194000,2017,2,28,1,1,0,0,0
54220,2,4.0,40000,2017,2,28,1,0,1,0,0
54221,3,5.0,80000,2017,2,28,1,0,1,0,0
54232,58,3.5,117900,2017,3,1,1,1,0,0,0
54233,9,4.0,132000,2017,3,1,1,1,0,0,0
54234,42,4.5,155000,2017,3,1,1,1,0,0,0
54235,31,5.0,193400,2017,3,1,1,1,0,0,0
54237,8,5.0,60000,2017,3,1,1,0,0,1,0
54240,5,5.0,300000,2017,3,1,1,0,0,0,1
54247,55,3.5,110600,2017,3,2,1,1,0,0,0
54248,5,4.0,129600,2017,3,2,1,1,0,0,0
54249,22,4.5,157100,2017,3,2,1,1,0,0,0
54250,61,5.0,174600,2017,3,2,1,1,0,0,0
54254,1,5.0,75000,2017,3,2,1,0,1,0,0
54261,1,3.5,195000,2017,3,2,1,0,0,0,1
54270,65,3.5,114200,2017,3,3,1,1,0,0,0
54271,17,4.5,157000,2017,3,3,1,1,0,0,0
54272,53,5.0,179400,2017,3,3,1,1,0,0,0
