수량,중량,평균가,yyyy,mm,dd,산지_부산(기장),산지_제주도,규격_18미,규격_20미,규격_24미,규격_26미,규격_28미,규격_중
19,18.0,45000,2018,3,27,1,0,0,1,0,0,0,0
68,18.0,70000,2018,3,28,1,0,0,1,0,0,0,0
52,15.0,80000,2018,4,7,1,0,0,1,0,0,0,0
211,15.0,53000,2018,4,9,1,0,0,1,0,0,0,0
12,15.0,65000,2018,4,12,1,0,0,1,0,0,0,0
44,15.0,75000,2018,4,16,1,0,0,1,0,0,0,0
41,15.0,73800,2018,4,19,1,0,0,1,0,0,0,0
25,13.0,70000,2018,4,20,1,0,0,1,0,0,0,0
15,15.0,90000,2018,4,20,1,0,0,1,0,0,0,0
308,15.0,56900,2018,4,21,1,0,0,1,0,0,0,0
14,13.0,40000,2018,4,23,1,0,0,1,0,0,0,0
138,15.0,62000,2018,4,23,1,0,0,1,0,0,0,0
110,15.0,35000,2018,4,24,1,0,0,1,0,0,0,0
75,15.0,95000,2018,4,28,1,0,0,1,0,0,0,0
16,15.0,110000,2018,4,30,1,0,0,1,0,0,0,0
12,13.0,45000,2018,5,19,1,0,0,1,0,0,0,0
77,15.0,21000,2018,6,6,1,0,0,1,0,0,0,0
7,15.0,45000,2018,6,22,1,0,0,1,0,0,0,0
14,15.0,30000,2018,6,23,1,0,0,1,0,0,0,0
36,15.0,40000,2018,6,27,1,0,0,1,0,0,0,0
35,13.0,75000,2018,7,6,1,0,0,1,0,0,0,0
279,13.0,35300,2018,7,7,1,0,0,1,0,0,0,0
269,13.0,26900,2018,7,9,1,0,0,1,0,0,0,0
591,13.0,20500,2018,7,10,1,0,0,1,0,0,0,0
386,13.0,32300,2018,7,13,1,0,0,1,0,0,0,0
153,13.0,42600,2018,7,14,1,0,0,1,0,0,0,0
47,13.0,40000,2018,7,16,1,0,0,1,0,0,0,0
30,13.0,40000,2018,7,17,1,0,0,1,0,0,0,0
377,13.0,31900,2018,7,18,1,0,0,1,0,0,0,0
75,13.0,50000,2018,7,19,1,0,0,1,0,0,0,0
217,13.0,37600,2018,7,20,1,0,0,1,0,0,0,0
53,13.0,40000,2018,7,21,1,0,0,1,0,0,0,0
98,13.0,49800,2018,7,23,1,0,0,1,0,0,0,0
120,13.0,38500,2018,7,24,1,0,0,1,0,0,0,0
285,13.0,41400,2018,7,25,1,0,0,1,0,0,0,0
246,13.0,40700,2018,7,26,1,0,0,1,0,0,0,0
129,13.0,47300,2018,7,27,1,0,0,1,0,0,0,0
14,13.0,40000,2018,7,31,1,0,0,1,0,0,0,0
80,13.0,55000,2018,8,2,1,0,0,1,0,0,0,0
312,13.0,42700,2018,8,3,1,0,0,1,0,0,0,0
184,13.0,29600,2018,8,4,1,0,0,1,0,0,0,0
44,10.0,30000,2018,8,6,1,0,0,1,0,0,0,0
255,13.0,26100,2018,8,6,1,0,0,1,0,0,0,0
465,13.0,28700,2018,8,7,1,0,0,1,0,0,0,0
153,13.0,23800,2018,8,8,1,0,0,1,0,0,0,0
156,13.0,29000,2018,8,9,1,0,0,1,0,0,0,0
168,13.0,30400,2018,8,10,1,0,0,1,0,0,0,0
188,13.0,32100,2018,8,11,1,0,0,1,0,0,0,0
175,13.0,26200,2018,8,13,1,0,0,1,0,0,0,0
119,13.0,30900,2018,8,14,1,0,0,1,0,0,0,0
37,10.0,40000,2018,8,15,1,0,0,1,0,0,0,0
265,13.0,37800,2018,8,15,1,0,0,1,0,0,0,0
281,13.0,28600,2018,8,16,1,0,0,1,0,0,0,0
393,13.0,29400,2018,8,17,1,0,0,1,0,0,0,0
226,13.0,30000,2018,8,18,1,0,0,1,0,0,0,0
202,10.0,37500,2018,8,20,1,0,0,1,0,0,0,0
40,10.0,31900,2018,8,21,1,0,0,1,0,0,0,0
76,15.0,35000,2018,8,21,1,0,0,1,0,0,0,0
615,10.0,22700,2018,8,22,1,0,0,1,0,0,0,0
353,10.0,47300,2018,8,23,1,0,0,1,0,0,0,0
