amount,weight,avg_price,yyyy,mm,dd,origin_군산,origin_대천,origin_완도,standard_12/13미,standard_13/14미,standard_14/15미,standard_15/16미
787,187,1.0,27800,2017,2,20,0,0,1,0,1,0,0
789,156,1.0,26700,2017,2,20,0,0,1,0,0,1,0
790,193,1.0,26100,2017,2,20,0,0,1,0,0,0,1
805,178,1.0,27200,2017,2,21,0,0,1,1,0,0,0
806,362,1.0,25200,2017,2,21,0,0,1,0,1,0,0
808,124,1.0,26400,2017,2,21,0,0,1,0,0,1,0
809,258,1.0,25300,2017,2,21,0,0,1,0,0,0,1
825,98,1.0,28600,2017,2,22,0,0,1,1,0,0,0
827,174,1.0,26800,2017,2,22,0,0,1,0,1,0,0
829,126,1.0,24800,2017,2,22,0,0,1,0,0,1,0
830,131,1.0,25700,2017,2,22,0,0,1,0,0,0,1
847,166,1.0,26400,2017,2,23,0,0,1,1,0,0,0
849,178,1.0,25300,2017,2,23,0,0,1,0,1,0,0
851,97,1.0,26000,2017,2,23,0,0,1,0,0,1,0
853,155,1.0,25100,2017,2,23,0,0,1,0,0,0,1
865,165,1.0,28000,2017,2,24,0,0,1,1,0,0,0
867,109,1.0,27400,2017,2,24,0,0,1,0,1,0,0
869,60,1.0,27800,2017,2,24,0,0,1,0,0,1,0
871,132,1.0,27300,2017,2,24,0,0,1,0,0,0,1
885,184,1.0,27100,2017,2,25,0,0,1,1,0,0,0
887,221,1.0,26400,2017,2,25,0,0,1,0,1,0,0
888,247,1.0,25600,2017,2,25,0,0,1,0,0,1,0
889,143,1.0,25500,2017,2,25,0,0,1,0,0,0,1
905,144,1.0,29500,2017,2,27,0,0,1,1,0,0,0
907,121,1.0,28300,2017,2,27,0,0,1,0,1,0,0
909,159,1.0,26600,2017,2,27,0,0,1,0,0,1,0
910,113,1.0,26100,2017,2,27,0,0,1,0,0,0,1
924,142,1.0,29300,2017,2,28,0,0,1,1,0,0,0
925,109,1.0,27900,2017,2,28,0,0,1,0,1,0,0
926,55,1.0,27200,2017,2,28,0,0,1,0,0,1,0
927,132,1.0,26400,2017,2,28,0,0,1,0,0,0,1
945,202,1.0,28300,2017,3,1,0,0,1,1,0,0,0
947,111,1.0,27200,2017,3,1,0,0,1,0,1,0,0
949,69,1.0,26500,2017,3,1,0,0,1,0,0,1,0
951,182,1.0,26300,2017,3,1,0,0,1,0,0,0,1
965,274,1.0,26500,2017,3,2,0,0,1,1,0,0,0
967,223,1.0,25900,2017,3,2,0,0,1,0,1,0,0
969,134,1.0,25200,2017,3,2,0,0,1,0,0,1,0
971,191,1.0,24700,2017,3,2,0,0,1,0,0,0,1
984,211,1.0,27500,2017,3,3,0,0,1,1,0,0,0
985,222,1.0,25800,2017,3,3,0,0,1,0,1,0,0
987,181,1.0,25100,2017,3,3,0,0,1,0,0,1,0
989,246,1.0,24500,2017,3,3,0,0,1,0,0,0,1
1004,198,1.0,26700,2017,3,4,0,0,1,1,0,0,0
1006,236,1.0,26000,2017,3,4,0,0,1,0,1,0,0
1008,180,1.0,25700,2017,3,4,0,0,1,0,0,1,0
1010,239,1.0,25700,2017,3,4,0,0,1,0,0,0,1
1025,313,1.0,26100,2017,3,6,0,0,1,1,0,0,0
1027,298,1.0,25700,2017,3,6,0,0,1,0,1,0,0
1029,159,1.0,25800,2017,3,6,0,0,1,0,0,1,0
1031,147,1.0,25800,2017,3,6,0,0,1,0,0,0,1
1044,134,1.0,27800,2017,3,7,0,0,1,1,0,0,0
1045,286,1.0,26300,2017,3,7,0,0,1,0,1,0,0
1046,135,1.0,25800,2017,3,7,0,0,1,0,0,1,0
1048,159,1.0,26600,2017,3,7,0,0,1,0,0,0,1
1064,258,1.0,26400,2017,3,8,0,0,1,1,0,0,0
1066,171,1.0,25900,2017,3,8,0,0,1,0,1,0,0
1068,136,1.0,25700,2017,3,8,0,0,1,0,0,1,0
1070,161,1.0,25800,2017,3,8,0,0,1,0,0,0,1
1085,235,1.0,26700,2017,3,9,0,0,1,1,0,0,0
1087,201,1.0,25800,2017,3,9,0,0,1,0,1,0,0
1089,273,1.0,25500,2017,3,9,0,0,1,0,0,1,0
1091,279,1.0,25400,2017,3,9,0,0,1,0,0,0,1
1105,238,1.0,26500,2017,3,10,0,0,1,1,0,0,0
1106,236,1.0,26000,2017,3,10,0,0,1,0,1,0,0
1108,216,1.0,25900,2017,3,10,0,0,1,0,0,1,0
1110,203,1.0,25900,2017,3,10,0,0,1,0,0,0,1
1124,270,1.0,25700,2017,3,11,0,0,1,1,0,0,0
1126,218,1.0,24900,2017,3,11,0,0,1,0,1,0,0
1128,261,1.0,24700,2017,3,11,0,0,1,0,0,1,0
1130,180,1.0,25100,2017,3,11,0,0,1,0,0,0,1
1145,309,1.0,25200,2017,3,13,0,0,1,1,0,0,0
1146,227,1.0,24700,2017,3,13,0,0,1,0,1,0,0
1148,157,1.0,25200,2017,3,13,0,0,1,0,0,1,0
1150,196,1.0,24600,2017,3,13,0,0,1,0,0,0,1
1163,246,1.0,26400,2017,3,14,0,0,1,1,0,0,0
1164,292,1.0,25600,2017,3,14,0,0,1,0,1,0,0
1165,121,1.0,26500,2017,3,14,0,0,1,0,0,1,0
1166,217,1.0,26000,2017,3,14,0,0,1,0,0,0,1
1184,205,1.0,26000,2017,3,15,0,0,1,1,0,0,0
1185,202,1.0,25000,2017,3,15,0,0,1,0,1,0,0
1187,145,1.0,25500,2017,3,15,0,0,1,0,0,1,0
1189,181,1.0,25000,2017,3,15,0,0,1,0,0,0,1
1204,239,1.0,25800,2017,3,16,0,0,1,1,0,0,0
1206,173,1.0,24400,2017,3,16,0,0,1,0,1,0,0
1207,102,1.0,25100,2017,3,16,0,0,1,0,0,1,0
1209,171,1.0,24300,2017,3,16,0,0,1,0,0,0,1
1223,213,1.0,25800,2017,3,17,0,0,1,1,0,0,0
1225,242,1.0,26000,2017,3,17,0,0,1,0,1,0,0
1227,80,1.0,26000,2017,3,17,0,0,1,0,0,1,0
1229,115,1.0,25700,2017,3,17,0,0,1,0,0,0,1
1244,236,1.0,25200,2017,3,18,0,0,1,1,0,0,0
1245,220,1.0,24200,2017,3,18,0,0,1,0,1,0,0
1247,104,1.0,24200,2017,3,18,0,0,1,0,0,1,0
1249,171,1.0,24200,2017,3,18,0,0,1,0,0,0,1
1263,147,1.0,25800,2017,3,20,0,0,1,1,0,0,0
1264,320,1.0,25300,2017,3,20,0,0,1,0,1,0,0
1266,170,1.0,24800,2017,3,20,0,0,1,0,0,1,0
1268,228,1.0,24800,2017,3,20,0,0,1,0,0,0,1
1283,203,1.0,25000,2017,3,21,0,0,1,1,0,0,0
1284,283,1.0,24100,2017,3,21,0,0,1,0,1,0,0
1286,134,1.0,24100,2017,3,21,0,0,1,0,0,1,0
1287,170,1.0,23700,2017,3,21,0,0,1,0,0,0,1
1303,212,1.0,25200,2017,3,22,0,0,1,1,0,0,0
1304,248,1.0,24200,2017,3,22,0,0,1,0,1,0,0
1306,90,1.0,24000,2017,3,22,0,0,1,0,0,1,0
1308,145,1.0,23800,2017,3,22,0,0,1,0,0,0,1
1323,134,1.0,25000,2017,3,23,0,0,1,1,0,0,0
1324,123,1.0,24600,2017,3,23,0,0,1,0,1,0,0
1326,135,1.0,24700,2017,3,23,0,0,1,0,0,1,0
1327,213,1.0,24200,2017,3,23,0,0,1,0,0,0,1
1344,190,1.0,26100,2017,3,24,0,0,1,1,0,0,0
1345,112,1.0,25200,2017,3,24,0,0,1,0,1,0,0
1347,135,1.0,24500,2017,3,24,0,0,1,0,0,1,0
1349,192,1.0,24800,2017,3,24,0,0,1,0,0,0,1
1364,231,1.0,24600,2017,3,25,0,0,1,1,0,0,0
